 0.110101, acc 0.97
2017-06-30T14:59:56.670032: step 33254, loss 0, acc 1
2017-06-30T14:59:58.022127: step 33255, loss 0.124059, acc 0.98
2017-06-30T14:59:59.370720: step 33256, loss 0.0808366, acc 0.97
2017-06-30T15:00:00.737686: step 33257, loss 0.0248389, acc 0.99
2017-06-30T15:00:02.091700: step 33258, loss 0.022407, acc 0.99
2017-06-30T15:00:03.440211: step 33259, loss 0.00861071, acc 0.99
2017-06-30T15:00:04.808388: step 33260, loss 0, acc 1
2017-06-30T15:00:06.152316: step 33261, loss 0.0680064, acc 0.98
2017-06-30T15:00:07.487844: step 33262, loss 0.0097134, acc 0.99
2017-06-30T15:00:08.848601: step 33263, loss 0.139905, acc 0.98
2017-06-30T15:00:10.218171: step 33264, loss 0, acc 1
2017-06-30T15:00:11.570359: step 33265, loss 0, acc 1
2017-06-30T15:00:12.947709: step 33266, loss 0, acc 1
2017-06-30T15:00:14.288122: step 33267, loss 0, acc 1
2017-06-30T15:00:15.691223: step 33268, loss 0, acc 1
2017-06-30T15:00:17.031708: step 33269, loss 0.0118292, acc 0.99
2017-06-30T15:00:18.387248: step 33270, loss 0.0341163, acc 0.98
2017-06-30T15:00:19.728132: step 33271, loss 0.025085, acc 0.99
2017-06-30T15:00:21.086733: step 33272, loss 0, acc 1
2017-06-30T15:00:22.445672: step 33273, loss 0.0181591, acc 0.99
2017-06-30T15:00:23.796520: step 33274, loss 0, acc 1
2017-06-30T15:00:25.156319: step 33275, loss 0.000459421, acc 0.99
2017-06-30T15:00:26.492289: step 33276, loss 0, acc 1
2017-06-30T15:00:27.854069: step 33277, loss 0, acc 1
2017-06-30T15:00:29.203771: step 33278, loss 0, acc 1
2017-06-30T15:00:30.554587: step 33279, loss 0.01392, acc 0.99
2017-06-30T15:00:31.929276: step 33280, loss 0.00386385, acc 0.98
2017-06-30T15:00:33.302672: step 33281, loss 0, acc 1
2017-06-30T15:00:34.661247: step 33282, loss 0, acc 1
2017-06-30T15:00:36.009178: step 33283, loss 0, acc 1
2017-06-30T15:00:37.372017: step 33284, loss 0, acc 1
2017-06-30T15:00:38.725460: step 33285, loss 0.00819488, acc 0.99
2017-06-30T15:00:40.076444: step 33286, loss 0, acc 1
2017-06-30T15:00:41.418839: step 33287, loss 0.0579025, acc 0.98
2017-06-30T15:00:42.773037: step 33288, loss 0.0383826, acc 0.98
2017-06-30T15:00:44.128380: step 33289, loss 0.0284554, acc 0.99
2017-06-30T15:00:45.472502: step 33290, loss 0.0508291, acc 0.99
2017-06-30T15:00:46.843900: step 33291, loss 0, acc 1
2017-06-30T15:00:48.190507: step 33292, loss 0, acc 1
2017-06-30T15:00:49.530482: step 33293, loss 0, acc 1
2017-06-30T15:00:50.890855: step 33294, loss 0, acc 1
2017-06-30T15:00:52.231017: step 33295, loss 0, acc 1
2017-06-30T15:00:53.570141: step 33296, loss 0, acc 1
2017-06-30T15:00:54.929380: step 33297, loss 0, acc 1
2017-06-30T15:00:56.276173: step 33298, loss 0.0472963, acc 0.99
2017-06-30T15:00:57.621712: step 33299, loss 0.00171109, acc 0.99
2017-06-30T15:00:58.971070: step 33300, loss 0, acc 1
2017-06-30T15:01:00.328687: step 33301, loss 0, acc 1
2017-06-30T15:01:01.684240: step 33302, loss 0, acc 1
2017-06-30T15:01:03.030848: step 33303, loss 0.00175847, acc 0.99
2017-06-30T15:01:04.413971: step 33304, loss 0, acc 1
2017-06-30T15:01:05.763231: step 33305, loss 0, acc 1
2017-06-30T15:01:07.142414: step 33306, loss 0.0451891, acc 0.98
2017-06-30T15:01:08.515456: step 33307, loss 0.00250982, acc 0.99
2017-06-30T15:01:09.866225: step 33308, loss 0.038852, acc 0.98
2017-06-30T15:01:11.215846: step 33309, loss 0.0484238, acc 0.99
2017-06-30T15:01:12.557142: step 33310, loss 0, acc 1
2017-06-30T15:01:13.911141: step 33311, loss 0.0366115, acc 0.98
2017-06-30T15:01:15.277261: step 33312, loss 0.0261335, acc 0.99
2017-06-30T15:01:16.630849: step 33313, loss 0.0518348, acc 0.99
2017-06-30T15:01:17.987794: step 33314, loss 0.0409442, acc 0.97
2017-06-30T15:01:19.338364: step 33315, loss 0.00200113, acc 0.99
2017-06-30T15:01:20.694245: step 33316, loss 0.098148, acc 0.97
2017-06-30T15:01:22.029369: step 33317, loss 0, acc 1
2017-06-30T15:01:23.390949: step 33318, loss 0.0393575, acc 0.99
2017-06-30T15:01:24.744950: step 33319, loss 0, acc 1
2017-06-30T15:01:26.103109: step 33320, loss 0, acc 1
2017-06-30T15:01:27.447821: step 33321, loss 0, acc 1
2017-06-30T15:01:28.794588: step 33322, loss 0.0158173, acc 0.99
2017-06-30T15:01:30.146738: step 33323, loss 0.0818004, acc 0.99
2017-06-30T15:01:31.486924: step 33324, loss 0, acc 1
2017-06-30T15:01:32.821627: step 33325, loss 0, acc 1
2017-06-30T15:01:34.167275: step 33326, loss 0, acc 1
2017-06-30T15:01:35.531990: step 33327, loss 0.0191728, acc 0.99
2017-06-30T15:01:36.892175: step 33328, loss 0, acc 1
2017-06-30T15:01:38.235322: step 33329, loss 0, acc 1
2017-06-30T15:01:39.617870: step 33330, loss 0.0211424, acc 0.99
2017-06-30T15:01:40.983721: step 33331, loss 0, acc 1
2017-06-30T15:01:42.334100: step 33332, loss 0, acc 1
2017-06-30T15:01:43.689418: step 33333, loss 0.0212589, acc 0.99
2017-06-30T15:01:45.044692: step 33334, loss 0.00438796, acc 0.99
2017-06-30T15:01:46.395051: step 33335, loss 0.0390993, acc 0.98
2017-06-30T15:01:47.738526: step 33336, loss 0, acc 1
2017-06-30T15:01:49.102157: step 33337, loss 0.00850268, acc 0.99
2017-06-30T15:01:50.468929: step 33338, loss 0, acc 1
2017-06-30T15:01:51.799521: step 33339, loss 0, acc 1
2017-06-30T15:01:53.160149: step 33340, loss 0, acc 1
2017-06-30T15:01:54.518230: step 33341, loss 0.0266363, acc 0.99
2017-06-30T15:01:55.855956: step 33342, loss 0, acc 1
2017-06-30T15:01:57.219392: step 33343, loss 0.0477342, acc 0.99
2017-06-30T15:01:58.586354: step 33344, loss 0, acc 1
2017-06-30T15:01:59.941341: step 33345, loss 0, acc 1
2017-06-30T15:02:01.301242: step 33346, loss 0.149555, acc 0.97
2017-06-30T15:02:02.668554: step 33347, loss 0, acc 1
